iter	Passed	Remaining
1048	36053	221925
1049	36068	221772
1050	36089	221651
1051	36142	221736
1052	36157	221583
1053	36219	221714
1054	36234	221563
1055	36294	221684
1056	36310	221535
1057	36372	221671
1058	36387	221520
1059	36402	221370
1060	36463	221498
1061	36478	221346
1062	36541	221485
1063	36556	221334
1064	36618	221461
1065	36632	221309
1066	36691	221422
1067	36707	221273
1068	36771	221419
1069	36786	221270
1070	36801	221118
1071	36860	221230
1072	36875	221080
1073	36938	221215
1074	36953	221068
1075	37011	221173
1076	37026	221025
1077	37089	221163
1078	37104	221012
1079	37124	220892
1080	37180	220984
1081	37195	220833
1082	37255	220952
1083	37270	220803
1084	37331	220926
1085	37346	220780
1086	37408	220908
1087	37423	220760
1088	37438	220611
1089	37500	220735
1090	37515	220587
1091	37575	220702
1092	37590	220554
1093	37650	220669
1094	37665	220522
1095	37727	220649
1096	37741	220499
1097	37756	220351
1098	37819	220481
1099	37834	220335
1100	37893	220442
1101	37908	220295
1102	37968	220408
1103	37984	220265
1104	38046	220393
1105	38061	220246
1106	38081	220130
1107	38136	220216
1108	38151	220069
1109	38212	220187
1110	38227	220041
1111	38288	220156
1112	38303	220010
1113	38365	220134
1114	38380	219992
1115	38395	219847
1116	38454	219951
1117	38469	219808
1118	38530	219926
1119	38546	219781
1120	38606	219893
1121	38621	219749
1122	38684	219875
1123	38699	219731
1124	38714	219587
1125	38774	219698
1126	38789	219553
1127	38851	219675
1128	38866	219533
1129	38929	219658
1130	38945	219517
1131	39003	219618
1132	39020	219485
1133	39035	219344
1134	39095	219449
1135	39110	219309
1136	39172	219427
1137	39187	219285
1138	39249	219401
1139	39264	219259
1140	39323	219365
1141	39339	219224
1142	39401	219347
1143	39417	219206
1144	39432	219063
1145	39490	219164
1146	39505	219022
1147	39567	219135
1148	39582	218993
1149	39642	219103
1150	39658	218963
1151	39720	219081
1152	39735	218940
1153	39754	218824
1154	39809	218902
1155	39825	218761
1156	39887	218882
1157	39902	218742
1158	39961	218837
1159	39975	218696
1160	40039	218818
1161	40055	218686
1162	40071	218547
1163	40130	218648
1164	40145	218506
1165	40205	218612
1166	40220	218472
1167	40283	218592
1168	40298	218452
1169	40356	218548
1170	40372	218408
1171	40436	218534
1172	40451	218395
1173	40466	218255
1174	40528	218372
1175	40543	218232
1176	40603	218332
1177	40618	218193
1178	40678	218295
1179	40693	218157
1180	40754	218268
1181	40769	218129
1182	40789	218017
1183	40845	218093
1184	40860	217956
1185	40921	218063
1186	40936	217926
1187	40995	218019
1188	41010	217882
1189	41074	218003
1190	41090	217874
1191	41106	217738
1192	41164	217828
1193	41179	217691
1194	41242	217808
1195	41257	217670
1196	41316	217764
1197	41331	217627
1198	41392	217735
1199	41408	217600
1200	41423	217464
1201	41482	217560
1202	41498	217426
1203	41558	217525
1204	41573	217390
1205	41635	217500
1206	41650	217364
1207	41712	217470
1208	41727	217335
1209	41742	217200
1210	41802	217297
1211	41817	217162
1212	41877	217258
1213	41892	217122
1214	41951	217218
1215	41966	217082
1216	42030	217199
1217	42046	217065
1218	42060	216929
1219	42120	217023
1220	42136	216895
1221	42196	216992
1222	42212	216859
1223	42274	216966
1224	42288	216830
1225	42349	216928
1226	42364	216795
1227	42384	216685
1228	42440	216759
1229	42455	216624
1230	42516	216725
1231	42531	216591
1232	42589	216679
1233	42605	216547
1234	42668	216658
1235	42684	216528
1236	42703	216418
1237	42757	216481
1238	42772	216347
1239	42834	216452
1240	42849	216318
1241	42908	216408
1242	42923	216275
1243	42987	216386
1244	43002	216254
1245	43017	216123
1246	43076	216210
1247	43091	216078
1248	43153	216180
1249	43168	216048
1250	43227	216135
1251	43242	216003
1252	43262	215896
1253	43316	215962
1254	43331	215829
1255	43395	215942
1256	43411	215811
